time,AM,SINE
0.0003775,3.26374,-1.37469
0.000378,3.32227,-1.36273
0.0003785,3.37867,-1.34947
0.000379,3.43289,-1.33493
0.0003795,3.48488,-1.31912
0.00038,3.5346,-1.30209
0.0003805,3.582,-1.28384
0.000381,3.62703,-1.26441
0.0003815,3.66966,-1.24383
0.000382,3.70984,-1.22212
0.0003825,3.74754,-1.19932
0.000383,3.78273,-1.17545
0.0003835,3.81537,-1.15056
0.000384,3.84543,-1.12466
0.0003845,3.87289,-1.09781
0.000385,3.89771,-1.07003
0.0003855,3.91989,-1.04135
0.000386,3.93938,-1.01182
0.0003865,3.95619,-0.981465
0.000387,3.97029,-0.950333
0.0003875,3.98168,-0.918458
0.000388,3.99033,-0.885881
0.0003885,3.99624,-0.852639
0.000389,3.99941,-0.818774
0.0003895,3.99984,-0.784327
0.00039,3.99751,-0.749337
0.0003905,3.99245,-0.713846
0.000391,3.98464,-0.677896
0.0003915,3.9741,-0.641528
0.000392,3.96084,-0.604785
0.0003925,3.94487,-0.567708
0.000393,3.9262,-0.53034
0.0003935,3.90485,-0.492723
0.000394,3.88084,-0.454899
0.0003945,3.85419,-0.416909
0.000395,3.82493,-0.378797
0.0003955,3.79309,-0.340604
0.000396,3.75868,-0.302372
0.0003965,3.72176,-0.264142
0.000397,3.68234,-0.225955
0.0003975,3.64046,-0.187853
0.000398,3.59616,-0.149875
0.0003985,3.54949,-0.112061
0.000399,3.50049,-0.0744516
0.0003995,3.44919,-0.037085
0.0004,3.39565,4.79142e-13
0.0004005,3.33992,0.0367657
0.000401,3.28205,0.0731749
0.0004015,3.22209,0.109191
0.000402,3.16009,0.144778
0.0004025,3.09612,0.179901
0.000403,3.03022,0.214526
0.0004035,2.96247,0.248619
0.000404,2.89292,0.282148
0.0004045,2.82163,0.315081
0.000405,2.74868,0.347387
0.0004055,2.67413,0.379036
0.000406,2.59805,0.409999
0.0004065,2.5205,0.440249
0.000407,2.44156,0.469759
